Ewe/V	<I>/mA	time/s
2.6960821E+000	3.602898856020562E-001	1.949999950738857E+002
2.7017140E+000	3.602883467710217E-001	1.999999949475750E+002
2.7073457E+000	3.602880013215654E-001	2.049999948212644E+002
2.7124810E+000	3.602885949957633E-001	2.099999946949538E+002
2.7175400E+000	3.602884223652104E-001	2.149999945686432E+002
2.7221220E+000	3.602888142884095E-001	2.199999944423325E+002
2.7267036E+000	3.602887225568588E-001	2.249999943160219E+002
2.7309227E+000	3.602886664343161E-001	2.299999941897113E+002
2.7349508E+000	3.602890304327383E-001	2.349999940634007E+002
2.7389598E+000	3.602876588213469E-001	2.399999939370900E+002
2.7424533E+000	3.602905437815944E-001	2.449999938107794E+002
2.7457752E+000	3.602919569779554E-001	2.499999936844688E+002
2.7489443E+000	3.602927718688375E-001	2.549999935581582E+002
2.7521515E+000	3.602901549828709E-001	2.599999934318475E+002
2.7548242E+000	3.602916701592053E-001	2.649999933055369E+002
2.7575159E+000	3.602914616597686E-001	2.699999931792263E+002
2.7599595E+000	3.602919273210676E-001	2.749999930529157E+002
2.7624414E+000	3.602902792216035E-001	2.799999929266050E+002
2.7645986E+000	3.602902077663614E-001	2.849999928002944E+002
2.7665839E+000	3.602895827663457E-001	2.899999926739838E+002
2.7686267E+000	3.602901830983825E-001	2.949999925476732E+002
2.7705357E+000	3.602892820704419E-001	2.999999924213625E+002
2.7721965E+000	3.602890799773124E-001	3.049999922950519E+002
2.7739148E+000	3.602892336202091E-001	3.099999921687413E+002
2.7757475E+000	3.602890266955270E-001	3.149999920424307E+002
2.7773702E+000	3.602899999952933E-001	3.199999919161201E+002
2.7788975E+000	3.602892778659301E-001	3.249999917898094E+002
2.7804821E+000	3.602900156844283E-001	3.299999916634988E+002
2.7819328E+000	3.602885369909057E-001	3.349999915371882E+002
2.7833264E+000	3.602886981606772E-001	3.399999914108776E+002
2.7847774E+000	3.602881393408923E-001	3.449999912845669E+002
2.7862666E+000	3.602890717602159E-001	3.499999911582563E+002
2.7877173E+000	3.602884314096195E-001	3.549999910319457E+002
2.7890155E+000	3.602894372714041E-001	3.599999909056351E+002
2.7904854E+000	3.602895436609292E-001	3.649999907793244E+002
2.7918217E+000	3.602892092514455E-001	3.699999906530138E+002
2.7931774E+000	3.602883369195659E-001	3.749999905267032E+002
2.7947235E+000	3.602875768852239E-001	3.799999904003926E+002
2.7959454E+000	3.602884298265201E-001	3.849999902740819E+002
2.7972436E+000	3.602897855830755E-001	3.899999901477713E+002
2.7985990E+000	3.602901765251821E-001	3.949999900214607E+002
2.7997825E+000	3.602898832405201E-001	3.999999898951501E+002
2.8013864E+000	3.602897763133610E-001	4.049999897688394E+002
2.8026080E+000	3.602897237504075E-001	4.099999896425288E+002
2.8039062E+000	3.602891070437823E-001	4.149999895162182E+002
2.8053188E+000	3.602892449701259E-001	4.199999893899076E+002
2.8067508E+000	3.602874175894225E-001	4.249999892635969E+002
2.8080871E+000	3.602889796769978E-001	4.299999891372863E+002
2.8093853E+000	3.602894317567822E-001	4.349999890109757E+002
2.8107979E+000	3.602889087403162E-001	4.399999888846651E+002
2.8120961E+000	3.602887156868274E-001	4.449999887583544E+002
2.8135087E+000	3.602885871970913E-001	4.499999886320438E+002
2.8149979E+000	3.602877664887958E-001	4.549999885057332E+002
2.8164296E+000	3.602883156287862E-001	4.599999883794226E+002
2.8178997E+000	3.602904774463914E-001	4.649999882531120E+002
2.8192360E+000	3.602886873519706E-001	4.699999881268013E+002
2.8208969E+000	3.602880528915054E-001	4.749999880004907E+002
2.8223288E+000	3.602880072534198E-001	4.799999878741801E+002
2.8237796E+000	3.602881038332124E-001	4.849999877478695E+002
2.8252497E+000	3.602866992580674E-001	4.899999876215588E+002
2.8267195E+000	3.602868578314604E-001	4.949999874952482E+002
2.8282278E+000	3.602868477332413E-001	4.999999873689376E+002
2.8296595E+000	3.602855209898435E-001	5.049999872426270E+002
2.8312821E+000	3.602855873357752E-001	5.099999871163163E+002
2.8329623E+000	3.602862576234012E-001	5.149999869900057E+002
2.8346422E+000	3.602870913922669E-001	5.199999868636951E+002
2.8361120E+000	3.602869464540328E-001	5.249999867373845E+002
2.8377540E+000	3.602881619262848E-001	5.299999866110738E+002
2.8393576E+000	3.602864286017133E-001	5.349999864847632E+002
2.8410947E+000	3.602837734114168E-001	5.399999863584526E+002
2.8426793E+000	3.602847979079979E-001	5.449999862321420E+002
2.8445120E+000	3.602845182358451E-001	5.499999861058313E+002
2.8462303E+000	3.602855640696976E-001	5.549999859795207E+002
2.8481584E+000	3.602867141985680E-001	5.599999858532101E+002
2.8497429E+000	3.602846015691010E-001	5.649999857268995E+002
2.8515756E+000	3.602828062843076E-001	5.699999856005888E+002
2.8534465E+000	3.602862222659250E-001	5.749999854742782E+002
2.8553174E+000	3.602834221314339E-001	5.799999853479676E+002
2.8571882E+000	3.602856910478597E-001	5.849999852216570E+002
2.8589253E+000	3.602854623913236E-001	5.899999850953463E+002
2.8606818E+000	3.602850959872578E-001	5.949999849690357E+002
2.8627245E+000	3.602840209197105E-001	5.999999848427251E+002
2.8645382E+000	3.602851565694202E-001	6.049999847164145E+002
2.8664091E+000	3.602846687602267E-001	6.099999845901039E+002
2.8682990E+000	3.602846008049694E-001	6.149999844637932E+002
2.8701699E+000	3.602850981187199E-001	6.199999843374826E+002
2.8719454E+000	3.602855959009629E-001	6.249999842111720E+002
2.8738735E+000	3.602844070529142E-001	6.299999840848614E+002
2.8756871E+000	3.602846497892599E-001	6.349999839585507E+002
2.8774242E+000	3.602845534776883E-001	6.399999838322401E+002
2.8794670E+000	3.602858564686345E-001	6.449999837059295E+002
2.8811660E+000	3.602854007625035E-001	6.499999835796189E+002
2.8829796E+000	3.602843151544706E-001	6.549999834533082E+002
2.8848124E+000	3.602861714589246E-001	6.599999833269976E+002
2.8867404E+000	3.602871216380486E-001	6.649999832006870E+002
2.8884206E+000	3.602874554979775E-001	6.699999830743764E+002
2.8903296E+000	3.602883129704190E-001	6.749999829480657E+002
2.8921814E+000	3.602876272523420E-001	6.799999828217551E+002
2.8941095E+000	3.602846332895017E-001	6.849999826954445E+002
2.8957894E+000	3.602877622985892E-001	6.899999825691339E+002
2.8973932E+000	3.602865023779603E-001	6.949999824428232E+002
2.8993785E+000	3.602856586110113E-001	6.999999823165126E+002
2.9012303E+000	3.602845928894725E-001	7.049999821902020E+002
2.9028149E+000	3.602854686283538E-001	7.099999820638914E+002
2.9048767E+000	3.602858613395263E-001	7.149999819375807E+002
2.9065185E+000	3.602852923392677E-001	7.199999818112701E+002
2.9082749E+000	3.602839155041251E-001	7.249999816849595E+002
2.9101458E+000	3.602856802463057E-001	7.299999815586489E+002
2.9119210E+000	3.602857481288453E-001	7.349999814323382E+002
2.9138494E+000	3.602830268250751E-001	7.399999813060276E+002
2.9155102E+000	3.602829726408754E-001	7.449999811797170E+002
2.9171901E+000	3.602834199963955E-001	7.499999810534064E+002
2.9190419E+000	3.602820538626711E-001	7.549999809270957E+002
2.9210846E+000	3.602822408710568E-001	7.599999808007851E+002
2.9226501E+000	3.602820830439138E-001	7.649999806744745E+002
2.9245782E+000	3.602834103928949E-001	7.699999805481639E+002
2.9263728E+000	3.602831380175427E-001	7.749999804218533E+002
2.9282818E+000	3.602832656501639E-001	7.799999802955426E+002
2.9300954E+000	3.602840613459658E-001	7.849999801692320E+002
2.9320617E+000	3.602814007531041E-001	7.899999800429214E+002
2.9338181E+000	3.602791820261746E-001	7.949999799166108E+002
2.9356699E+000	3.602810080133214E-001	7.999999797903001E+002
2.9375598E+000	3.602792622611811E-001	8.049999796639895E+002
2.9392016E+000	3.602793905685269E-001	8.099999795376789E+002
2.9411106E+000	3.602800324509627E-001	8.149999794113683E+002
2.9428480E+000	3.602814059363242E-001	8.199999792850576E+002
2.9446425E+000	3.602806863210850E-001	8.249999791587470E+002
2.9467041E+000	3.602814861892120E-001	8.299999790324364E+002
2.9485943E+000	3.602811267267033E-001	8.349999789061258E+002
2.9502742E+000	3.602811210857196E-001	8.399999787798151E+002
2.9521260E+000	3.602800845561524E-001	8.449999786535045E+002
2.9539206E+000	3.602821847389771E-001	8.499999785271939E+002
2.9559059E+000	3.602831148063014E-001	8.549999784008833E+002
2.9578915E+000	3.602810253868837E-001	8.599999782745726E+002
2.9596667E+000	3.602829669247898E-001	8.649999781482620E+002
